data_criacao,id,temperatura,umidade,latitude,longitude,altitude,HDOP,satelites
2025-11-19T09:52:55-03:00,96,38.5,52.0,-8.052608,-34.886029,8.6,1.11,8.0
2025-11-19T09:53:15-03:00,97,38.5,52.0,-8.052608,-34.886029,8.6,1.11,8.0
2025-11-19T09:53:36-03:00,98,39.0,51.0,-8.052682,-34.885964,20.8,1.11,7.0
2025-11-19T09:53:57-03:00,99,39.5,50.0,-8.052667,-34.885985,18.6,1.0,8.0
2025-11-19T09:54:17-03:00,100,40.0,48.0,-8.052667,-34.885985,18.6,1.0,8.0
2025-11-19T09:54:38-03:00,101,40.1,48.0,-8.052569,-34.886056,18.6,1.0,8.0
2025-11-19T09:54:59-03:00,102,40.6,48.0,-8.05258,-34.886044,20.7,1.0,8.0
2025-11-19T09:55:20-03:00,103,41.1,47.0,-8.052591,-34.886023,18.0,1.0,8.0
2025-11-19T09:55:41-03:00,104,41.6,46.0,-8.052611,-34.886014,18.0,1.0,8.0
2025-11-19T09:56:03-03:00,105,41.6,45.0,-8.052623,-34.886021,17.9,1.13,8.0
2025-11-19T09:56:24-03:00,106,41.6,45.0,-8.052624,-34.886017,16.4,0.88,9.0
2025-11-19T09:56:46-03:00,107,41.6,44.0,-8.052624,-34.886017,16.4,0.88,9.0
2025-11-19T09:57:06-03:00,108,41.6,44.0,-8.052624,-34.886006,18.6,0.88,9.0
2025-11-19T09:57:27-03:00,109,41.1,44.0,-8.052624,-34.886006,18.6,0.88,9.0
2025-11-19T09:59:01-03:00,110,39.5,47.0,-8.052624,-34.886002,16.8,1.0,9.0
2025-11-19T09:59:22-03:00,111,40.6,46.0,-8.052608,-34.886013,21.3,1.0,8.0
2025-11-19T09:59:42-03:00,112,40.1,46.0,-8.052625,-34.886007,20.8,0.88,9.0
2025-11-19T10:00:03-03:00,113,40.6,46.0,-8.052654,-34.885999,23.4,1.0,8.0
2025-11-19T10:00:24-03:00,114,40.6,45.0,-8.052634,-34.886,19.5,1.0,8.0
2025-11-19T10:00:45-03:00,115,39.5,46.0,-8.052611,-34.886009,17.8,1.0,8.0
2025-11-19T10:01:06-03:00,116,39.5,46.0,-8.052587,-34.886013,13.9,1.0,8.0
2025-11-19T10:01:30-03:00,117,39.5,46.0,-8.052587,-34.886013,13.9,1.0,8.0
2025-11-19T10:01:50-03:00,118,40.1,45.0,-8.052601,-34.886026,14.8,0.97,9.0
2025-11-19T10:02:11-03:00,119,40.3,45.0,-8.052602,-34.886045,14.3,1.0,8.0
2025-11-19T10:02:33-03:00,120,40.6,44.0,-8.052608,-34.886048,17.0,1.0,8.0
2025-11-19T10:02:53-03:00,121,40.6,43.0,-8.052606,-34.886035,18.4,1.0,8.0
2025-11-19T10:03:14-03:00,122,41.1,43.0,-8.052612,-34.886041,18.4,1.0,8.0
2025-11-19T10:03:36-03:00,123,41.6,43.0,-8.052613,-34.886051,19.1,1.13,8.0
2025-11-19T10:03:57-03:00,124,41.6,43.0,-8.052606,-34.886062,19.4,1.0,8.0
2025-11-19T10:04:18-03:00,125,42.0,43.0,-8.052607,-34.886055,17.8,1.0,8.0
2025-11-19T10:04:40-03:00,126,42.0,42.0,-8.052621,-34.88604,19.3,1.0,9.0
2025-11-19T10:05:00-03:00,127,41.6,42.0,-8.052621,-34.88604,19.3,1.0,9.0
2025-11-19T10:05:21-03:00,128,41.6,42.0,-8.05259,-34.886047,19.3,1.0,9.0
2025-11-19T10:05:42-03:00,129,41.6,42.0,-8.05259,-34.886047,23.9,0.87,9.0
2025-11-19T14:12:33-03:00,130,31.3,64.0,-7.996074,-34.840823,46.9,4.49,4.0
2025-11-19T14:12:53-03:00,131,31.3,67.0,-7.996074,-34.840823,46.9,4.49,4.0
2025-11-19T14:13:14-03:00,132,30.8,67.0,-7.995929,-34.841056,30.1,1.33,5.0
2025-11-19T14:13:35-03:00,133,30.8,67.0,-7.995914,-34.841052,31.3,1.33,5.0
2025-11-19T14:13:56-03:00,134,30.8,67.0,-7.995904,-34.841043,28.3,1.33,5.0
2025-11-19T14:14:17-03:00,135,30.8,67.0,-7.995911,-34.840997,24.0,1.34,5.0
2025-11-19T14:14:37-03:00,136,30.8,67.0,-7.995925,-34.840964,22.8,1.34,5.0
2025-11-19T14:14:58-03:00,137,30.8,68.0,-7.995929,-34.840986,22.3,1.34,5.0
2025-11-19T14:15:19-03:00,138,30.8,68.0,-7.995936,-34.840968,24.4,1.34,5.0
2025-11-19T14:15:40-03:00,139,30.8,68.0,-7.995948,-34.840973,26.9,1.31,6.0
2025-11-19T14:16:01-03:00,140,30.8,68.0,-7.995953,-34.840978,27.7,1.31,6.0
2025-11-19T14:16:21-03:00,141,30.8,68.0,-7.995967,-34.840973,23.6,1.31,6.0
2025-11-19T14:16:42-03:00,142,30.8,68.0,-7.995877,-34.841098,23.6,1.31,6.0
2025-11-19T14:17:03-03:00,143,30.8,69.0,-7.995877,-34.841098,23.6,99.99,6.0
2025-11-19T14:17:24-03:00,144,30.8,69.0,-7.995946,-34.840913,36.0,1.32,6.0
2025-11-19T14:17:46-03:00,145,30.8,69.0,-7.995923,-34.840932,36.0,1.32,6.0
2025-11-19T14:18:06-03:00,146,30.8,69.0,-7.995923,-34.840932,36.0,1.32,6.0
2025-11-19T14:18:27-03:00,147,30.8,69.0,-7.995947,-34.84089,25.8,1.32,6.0
